alarm_id,feature_name,population_mean,population_std,upper_control_limit,lower_control_limit,total_alarm_count
SPC_ATTR_441,Attribute 441,11.526617,6.169471,30.035029,-6.981796,3
SPC_ATTR_443,Attribute 443,1.345259,0.659195,3.322842,-0.632325,32
SPC_ATTR_444,Attribute 444,0.633941,0.143552,1.064597,0.203285,1
SPC_ATTR_445,Attribute 445,0.895043,0.155522,1.361608,0.428478,16
SPC_ATTR_446,Attribute 446,0.64709,0.141252,1.070846,0.223333,1
SPC_ATTR_447,Attribute 447,1.175003,0.176158,1.703478,0.646529,6
SPC_ATTR_449,Attribute 449,0.33227,0.236275,1.041096,-0.376556,6
SPC_ATTR_453,Attribute 453,5.346816,0.919196,8.104405,2.589226,6
SPC_ATTR_454,Attribute 454,5.460971,2.250804,12.213385,-1.291442,6
SPC_ATTR_455,Attribute 455,7.883742,3.05966,17.062723,-1.29524,8
SPC_ATTR_456,Attribute 456,3.636633,0.938372,6.45175,0.821517,7
SPC_ATTR_457,Attribute 457,12.325685,8.125876,36.703313,-12.051942,6
SPC_ATTR_458,Attribute 458,5.263666,4.537737,18.876875,-8.349544,3
SPC_ATTR_460,Attribute 460,2.83838,1.345576,6.875109,-1.198349,3
SPC_ATTR_461,Attribute 461,29.197414,13.335189,69.20298,-10.808153,19
SPC_ATTR_468,Attribute 468,6.252091,8.673724,32.273262,-19.769081,11
SPC_ATTR_469,Attribute 469,224.173047,230.766915,916.473792,-468.127698,23
SPC_ATTR_470,Attribute 470,5.662293,3.151685,15.117347,-3.792761,8
SPC_ATTR_471,Attribute 471,5.367752,4.983367,20.317852,-9.582348,8
SPC_ATTR_472,Attribute 472,9.638797,10.174117,40.161148,-20.883554,7
SPC_ATTR_473,Attribute 473,137.888406,47.698041,280.98253,-5.205718,10
SPC_ATTR_474,Attribute 474,39.426847,22.457104,106.798159,-27.944465,27
SPC_ATTR_475,Attribute 475,37.63705,24.822918,112.105803,-36.831704,16
SPC_ATTR_476,Attribute 476,4.262573,2.611174,12.096095,-3.570949,8
SPC_ATTR_477,Attribute 477,20.132155,14.93959,64.950924,-24.686615,17
SPC_ATTR_478,Attribute 478,6.257921,10.185026,36.813,-24.297157,7
SPC_ATTR_479,Attribute 479,0.128123,5.062075,15.314347,-15.058101,1
SPC_ATTR_480,Attribute 480,3.283394,2.638608,11.199219,-4.632431,7
SPC_ATTR_481,Attribute 481,75.538131,35.752493,182.795611,-31.719349,14
SPC_ATTR_484,Attribute 484,206.564196,192.864413,785.157434,-372.029042,39
SPC_ATTR_485,Attribute 485,215.288948,213.126638,854.668862,-424.090966,31
SPC_ATTR_486,Attribute 486,201.111728,218.690015,857.181775,-454.958318,28
SPC_ATTR_490,Attribute 490,272.169707,228.046702,956.309813,-411.970399,9
SPC_ATTR_491,Attribute 491,51.354045,18.048612,105.499882,-2.791791,15
SPC_ATTR_492,Attribute 492,2.442673,1.224283,6.115522,-1.230175,37
SPC_ATTR_493,Attribute 493,8.170943,1.759262,13.44873,2.893156,1
SPC_ATTR_494,Attribute 494,2.530046,0.973948,5.451891,-0.391798,7
SPC_ATTR_495,Attribute 495,0.956442,6.6152,20.802043,-18.889159,7
SPC_ATTR_496,Attribute 496,6.807826,3.260019,16.587884,-2.972233,1
SPC_ATTR_497,Attribute 497,29.865896,24.621586,103.730655,-43.998862,39
SPC_ATTR_498,Attribute 498,11.82103,4.956647,26.690971,-3.048911,16
SPC_ATTR_511,Attribute 511,55.763508,37.691736,168.838715,-57.311698,32
SPC_ATTR_517,Attribute 517,0.678898,10.78388,33.030538,-31.672742,1
SPC_ATTR_518,Attribute 518,1.738902,4.890663,16.410892,-12.933088,1
SPC_ATTR_519,Attribute 519,1.806273,4.715894,15.953956,-12.34141,1
SPC_ATTR_520,Attribute 520,11.72844,15.81442,59.1717,-35.71482,17
SPC_ATTR_521,Attribute 521,2.695999,5.702366,19.803098,-14.4111,6
SPC_ATTR_522,Attribute 522,11.61008,103.122996,320.979067,-297.758907,20
SPC_ATTR_523,Attribute 523,14.728866,7.104435,36.042171,-6.584439,6
SPC_ATTR_524,Attribute 524,0.453896,4.147581,12.896638,-11.988845,5
SPC_ATTR_525,Attribute 525,5.687782,20.663414,67.678024,-56.302461,1
SPC_ATTR_526,Attribute 526,5.560397,3.92037,17.321507,-6.200712,4
SPC_ATTR_527,Attribute 527,1.443457,0.958428,4.31874,-1.431825,5
SPC_ATTR_528,Attribute 528,6.395717,1.888698,12.06181,0.729624,3
SPC_ATTR_542,Attribute 542,9.611628,2.896376,18.300755,0.922501,18
SPC_ATTR_544,Attribute 544,0.008471,0.001534,0.013071,0.00387,15
SPC_ATTR_545,Attribute 545,0.002509,0.000296,0.003396,0.001623,16
SPC_ATTR_546,Attribute 546,7.611403,1.315544,11.558036,3.66477,10
SPC_ATTR_547,Attribute 547,1.03963,0.389066,2.206828,-0.127567,11
SPC_ATTR_548,Attribute 548,403.546477,5.063887,418.738139,388.354816,10
SPC_ATTR_550,Attribute 550,0.663256,0.673346,2.683294,-1.356781,28
SPC_ATTR_551,Attribute 551,17.013313,4.966954,31.914175,2.112451,2
SPC_ATTR_552,Attribute 552,1.230712,1.361117,5.314063,-2.85264,4
SPC_ATTR_553,Attribute 553,0.276688,0.276231,1.10538,-0.552004,29
SPC_ATTR_554,Attribute 554,7.703874,2.192647,14.281815,1.125932,2
SPC_ATTR_555,Attribute 555,0.503657,0.598852,2.300213,-1.292899,4
SPC_ATTR_556,Attribute 556,57.746537,35.207552,163.369194,-47.87612,20
SPC_ATTR_557,Attribute 557,4.216905,1.280008,8.05693,0.376879,2
SPC_ATTR_558,Attribute 558,1.62307,1.870433,7.23437,-3.98823,4
SPC_ATTR_559,Attribute 559,0.995009,0.08386,1.246588,0.74343,56
SPC_ATTR_560,Attribute 560,0.325708,0.201392,0.929884,-0.278467,11
SPC_ATTR_561,Attribute 561,0.072443,0.051578,0.227177,-0.08229,32
SPC_ATTR_562,Attribute 562,32.284956,19.026081,89.3632,-24.793288,8
SPC_ATTR_563,Attribute 563,262.729683,7.630585,285.621439,239.837927,6
SPC_ATTR_564,Attribute 564,0.679641,0.121758,1.044914,0.314367,7
SPC_ATTR_565,Attribute 565,6.444985,2.633583,14.345734,-1.455765,10
SPC_ATTR_566,Attribute 566,0.14561,0.081122,0.388977,-0.097758,19
SPC_ATTR_567,Attribute 567,2.61087,1.032761,5.709153,-0.487414,12
SPC_ATTR_568,Attribute 568,0.060086,0.032761,0.158369,-0.038196,19
SPC_ATTR_569,Attribute 569,2.452417,0.996644,5.442349,-0.537516,9
SPC_ATTR_570,Attribute 570,21.117674,10.213294,51.757557,-9.522209,27
SPC_ATTR_571,Attribute 571,530.523623,17.499736,583.022831,478.024415,18
SPC_ATTR_572,Attribute 572,2.101836,0.275112,2.927172,1.276501,32
SPC_ATTR_573,Attribute 573,28.450165,86.304681,287.364209,-230.463879,60
SPC_ATTR_574,Attribute 574,0.345636,0.248478,1.091071,-0.399798,60
SPC_ATTR_575,Attribute 575,9.162315,26.92015,89.922766,-71.598136,68
SPC_ATTR_576,Attribute 576,0.104729,0.067791,0.308103,-0.098644,57
SPC_ATTR_577,Attribute 577,5.563747,16.921369,56.327853,-45.20036,70
SPC_ATTR_578,Attribute 578,16.642363,12.485267,54.098164,-20.813438,62
SPC_ATTR_579,Attribute 579,0.021615,0.01173,0.056805,-0.013576,6
SPC_ATTR_580,Attribute 580,0.016829,0.00964,0.04575,-0.012091,13
SPC_ATTR_581,Attribute 581,0.005396,0.003116,0.014744,-0.003952,11
SPC_ATTR_582,Attribute 582,97.934373,87.520966,360.497272,-164.628526,16
SPC_ATTR_583,Attribute 583,0.500096,0.003404,0.510309,0.489883,2
SPC_ATTR_584,Attribute 584,0.015318,0.01718,0.066858,-0.036222,2
SPC_ATTR_585,Attribute 585,0.003847,0.00372,0.015008,-0.007315,2
SPC_ATTR_586,Attribute 586,3.067826,3.578033,13.801926,-7.666273,2
SPC_ATTR_587,Attribute 587,0.021458,0.012358,0.058533,-0.015616,12
SPC_ATTR_588,Attribute 588,0.016475,0.008808,0.042898,-0.009948,22
SPC_ATTR_589,Attribute 589,0.005283,0.002867,0.013885,-0.003318,23
SPC_ATTR_590,Attribute 590,99.670066,93.891919,381.345825,-182.005692,46
